[03/16/2021 20:00:19] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:00:29] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.859 M
[03/16/2021 20:00:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.6, FR training L2 loss 58103.63, FR validation L2 loss 1869.20, FNR 94.40 %
[03/16/2021 20:26:29] {complexTrain.py:233} INFO - Epochs: 20 / 410, Time: 2.5, FR training L2 loss 52.73, FR validation L2 loss 52.37, FNR 89.11 %
[03/16/2021 20:26:32] {complexTrain.py:233} INFO - Epochs: 21 / 410, Time: 2.5, FR training L2 loss 54.60, FR validation L2 loss 53.13, FNR 80.58 %
[03/16/2021 20:26:34] {complexTrain.py:233} INFO - Epochs: 22 / 410, Time: 2.5, FR training L2 loss 57.35, FR validation L2 loss 54.84, FNR 76.80 %
[03/16/2021 20:26:37] {complexTrain.py:233} INFO - Epochs: 23 / 410, Time: 2.5, FR training L2 loss 48.48, FR validation L2 loss 47.48, FNR 73.26 %
[03/16/2021 20:26:39] {complexTrain.py:233} INFO - Epochs: 24 / 410, Time: 2.5, FR training L2 loss 47.63, FR validation L2 loss 48.52, FNR 72.80 %
[03/16/2021 20:26:42] {complexTrain.py:233} INFO - Epochs: 25 / 410, Time: 2.5, FR training L2 loss 44.42, FR validation L2 loss 46.81, FNR 72.37 %
[03/16/2021 20:26:44] {complexTrain.py:233} INFO - Epochs: 26 / 410, Time: 2.5, FR training L2 loss 53.47, FR validation L2 loss 52.87, FNR 71.23 %
[03/16/2021 20:26:47] {complexTrain.py:233} INFO - Epochs: 27 / 410, Time: 2.5, FR training L2 loss 38.77, FR validation L2 loss 45.60, FNR 68.44 %
[03/16/2021 20:26:49] {complexTrain.py:233} INFO - Epochs: 28 / 410, Time: 2.5, FR training L2 loss 37.20, FR validation L2 loss 44.61, FNR 65.98 %
[03/16/2021 20:26:52] {complexTrain.py:233} INFO - Epochs: 29 / 410, Time: 2.5, FR training L2 loss 35.85, FR validation L2 loss 53.67, FNR 66.98 %
[03/16/2021 20:26:54] {complexTrain.py:233} INFO - Epochs: 30 / 410, Time: 2.5, FR training L2 loss 33.70, FR validation L2 loss 49.80, FNR 65.23 %
[03/16/2021 20:26:57] {complexTrain.py:233} INFO - Epochs: 31 / 410, Time: 2.4, FR training L2 loss 31.73, FR validation L2 loss 50.38, FNR 62.74 %
[03/16/2021 20:26:59] {complexTrain.py:233} INFO - Epochs: 32 / 410, Time: 2.5, FR training L2 loss 29.24, FR validation L2 loss 48.45, FNR 62.88 %
[03/16/2021 20:27:02] {complexTrain.py:233} INFO - Epochs: 33 / 410, Time: 2.4, FR training L2 loss 27.72, FR validation L2 loss 50.79, FNR 61.20 %
[03/16/2021 20:27:04] {complexTrain.py:233} INFO - Epochs: 34 / 410, Time: 2.5, FR training L2 loss 43.97, FR validation L2 loss 58.71, FNR 61.63 %
[03/16/2021 20:27:07] {complexTrain.py:233} INFO - Epochs: 35 / 410, Time: 2.4, FR training L2 loss 23.91, FR validation L2 loss 50.36, FNR 59.82 %
[03/16/2021 20:27:09] {complexTrain.py:233} INFO - Epochs: 36 / 410, Time: 2.5, FR training L2 loss 25.42, FR validation L2 loss 48.45, FNR 60.13 %
[03/16/2021 20:27:11] {complexTrain.py:233} INFO - Epochs: 37 / 410, Time: 2.4, FR training L2 loss 20.52, FR validation L2 loss 48.84, FNR 57.11 %
[03/16/2021 20:27:14] {complexTrain.py:233} INFO - Epochs: 38 / 410, Time: 2.5, FR training L2 loss 19.70, FR validation L2 loss 47.65, FNR 56.19 %
[03/16/2021 20:27:16] {complexTrain.py:233} INFO - Epochs: 39 / 410, Time: 2.5, FR training L2 loss 18.43, FR validation L2 loss 48.77, FNR 55.52 %
[03/16/2021 20:27:19] {complexTrain.py:233} INFO - Epochs: 40 / 410, Time: 2.5, FR training L2 loss 18.42, FR validation L2 loss 51.91, FNR 55.94 %
[03/16/2021 20:27:21] {complexTrain.py:233} INFO - Epochs: 41 / 410, Time: 2.4, FR training L2 loss 17.56, FR validation L2 loss 49.54, FNR 54.92 %
[03/16/2021 20:27:24] {complexTrain.py:233} INFO - Epochs: 42 / 410, Time: 2.5, FR training L2 loss 18.03, FR validation L2 loss 49.08, FNR 55.92 %
[03/16/2021 20:27:26] {complexTrain.py:233} INFO - Epochs: 43 / 410, Time: 2.5, FR training L2 loss 18.22, FR validation L2 loss 46.99, FNR 55.58 %
[03/16/2021 20:27:29] {complexTrain.py:233} INFO - Epochs: 44 / 410, Time: 2.5, FR training L2 loss 17.59, FR validation L2 loss 50.93, FNR 54.77 %
[03/16/2021 20:27:31] {complexTrain.py:233} INFO - Epochs: 45 / 410, Time: 2.5, FR training L2 loss 16.74, FR validation L2 loss 46.89, FNR 54.90 %
[03/16/2021 20:27:34] {complexTrain.py:233} INFO - Epochs: 46 / 410, Time: 2.5, FR training L2 loss 15.77, FR validation L2 loss 49.34, FNR 54.02 %
[03/16/2021 20:27:36] {complexTrain.py:233} INFO - Epochs: 47 / 410, Time: 2.4, FR training L2 loss 16.06, FR validation L2 loss 48.80, FNR 54.06 %
[03/16/2021 20:27:39] {complexTrain.py:233} INFO - Epochs: 48 / 410, Time: 2.5, FR training L2 loss 16.91, FR validation L2 loss 49.12, FNR 53.58 %
[03/16/2021 20:27:41] {complexTrain.py:233} INFO - Epochs: 49 / 410, Time: 2.5, FR training L2 loss 16.48, FR validation L2 loss 48.36, FNR 54.44 %
[03/16/2021 20:27:44] {complexTrain.py:233} INFO - Epochs: 50 / 410, Time: 2.5, FR training L2 loss 15.37, FR validation L2 loss 49.99, FNR 53.64 %
[03/16/2021 20:27:46] {complexTrain.py:233} INFO - Epochs: 51 / 410, Time: 2.4, FR training L2 loss 16.22, FR validation L2 loss 48.85, FNR 54.41 %
[03/16/2021 20:27:49] {complexTrain.py:233} INFO - Epochs: 52 / 410, Time: 2.5, FR training L2 loss 15.93, FR validation L2 loss 49.00, FNR 54.91 %
[03/16/2021 20:27:51] {complexTrain.py:233} INFO - Epochs: 53 / 410, Time: 2.5, FR training L2 loss 15.82, FR validation L2 loss 49.65, FNR 53.68 %
[03/16/2021 20:27:54] {complexTrain.py:233} INFO - Epochs: 54 / 410, Time: 2.5, FR training L2 loss 15.60, FR validation L2 loss 49.36, FNR 54.06 %
[03/16/2021 20:27:56] {complexTrain.py:233} INFO - Epochs: 55 / 410, Time: 2.4, FR training L2 loss 14.35, FR validation L2 loss 50.07, FNR 53.35 %
[03/16/2021 20:27:59] {complexTrain.py:233} INFO - Epochs: 56 / 410, Time: 2.5, FR training L2 loss 14.59, FR validation L2 loss 49.18, FNR 53.57 %
[03/16/2021 20:28:01] {complexTrain.py:233} INFO - Epochs: 57 / 410, Time: 2.5, FR training L2 loss 15.15, FR validation L2 loss 48.53, FNR 53.53 %
[03/16/2021 20:28:03] {complexTrain.py:233} INFO - Epochs: 58 / 410, Time: 2.5, FR training L2 loss 14.99, FR validation L2 loss 48.76, FNR 53.80 %
[03/16/2021 20:28:06] {complexTrain.py:233} INFO - Epochs: 59 / 410, Time: 2.5, FR training L2 loss 14.05, FR validation L2 loss 49.40, FNR 53.68 %
[03/16/2021 20:28:08] {complexTrain.py:233} INFO - Epochs: 60 / 410, Time: 2.5, FR training L2 loss 14.30, FR validation L2 loss 48.40, FNR 53.53 %
[03/16/2021 20:28:11] {complexTrain.py:233} INFO - Epochs: 61 / 410, Time: 2.5, FR training L2 loss 15.16, FR validation L2 loss 49.11, FNR 53.06 %
[03/16/2021 20:28:14] {complexTrain.py:233} INFO - Epochs: 62 / 410, Time: 2.5, FR training L2 loss 14.48, FR validation L2 loss 49.31, FNR 53.32 %
[03/16/2021 20:28:16] {complexTrain.py:233} INFO - Epochs: 63 / 410, Time: 2.5, FR training L2 loss 15.63, FR validation L2 loss 48.68, FNR 53.45 %
[03/16/2021 20:28:18] {complexTrain.py:233} INFO - Epochs: 64 / 410, Time: 2.5, FR training L2 loss 14.99, FR validation L2 loss 49.49, FNR 53.45 %
[03/16/2021 20:28:21] {complexTrain.py:233} INFO - Epochs: 65 / 410, Time: 2.5, FR training L2 loss 15.36, FR validation L2 loss 49.54, FNR 53.00 %
[03/16/2021 20:28:23] {complexTrain.py:233} INFO - Epochs: 66 / 410, Time: 2.5, FR training L2 loss 14.53, FR validation L2 loss 49.76, FNR 53.09 %
[03/16/2021 20:28:26] {complexTrain.py:233} INFO - Epochs: 67 / 410, Time: 2.5, FR training L2 loss 13.62, FR validation L2 loss 48.39, FNR 53.19 %
[03/16/2021 20:28:28] {complexTrain.py:233} INFO - Epochs: 68 / 410, Time: 2.5, FR training L2 loss 13.85, FR validation L2 loss 48.39, FNR 53.40 %
[03/16/2021 20:28:31] {complexTrain.py:233} INFO - Epochs: 69 / 410, Time: 2.5, FR training L2 loss 13.94, FR validation L2 loss 49.14, FNR 53.43 %
[03/16/2021 20:28:33] {complexTrain.py:233} INFO - Epochs: 70 / 410, Time: 2.5, FR training L2 loss 13.90, FR validation L2 loss 48.57, FNR 53.44 %
[03/16/2021 20:28:36] {complexTrain.py:233} INFO - Epochs: 71 / 410, Time: 2.5, FR training L2 loss 14.08, FR validation L2 loss 48.57, FNR 53.24 %
[03/16/2021 20:28:38] {complexTrain.py:233} INFO - Epochs: 72 / 410, Time: 2.5, FR training L2 loss 14.81, FR validation L2 loss 48.90, FNR 53.37 %
[03/16/2021 20:28:41] {complexTrain.py:233} INFO - Epochs: 73 / 410, Time: 2.5, FR training L2 loss 14.88, FR validation L2 loss 48.64, FNR 53.19 %
[03/16/2021 20:28:43] {complexTrain.py:233} INFO - Epochs: 74 / 410, Time: 2.5, FR training L2 loss 14.09, FR validation L2 loss 49.21, FNR 53.34 %
[03/16/2021 20:28:46] {complexTrain.py:233} INFO - Epochs: 75 / 410, Time: 2.5, FR training L2 loss 14.29, FR validation L2 loss 49.31, FNR 53.36 %
[03/16/2021 20:28:48] {complexTrain.py:233} INFO - Epochs: 76 / 410, Time: 2.5, FR training L2 loss 14.92, FR validation L2 loss 49.40, FNR 53.17 %
[03/16/2021 20:28:51] {complexTrain.py:233} INFO - Epochs: 77 / 410, Time: 2.5, FR training L2 loss 13.42, FR validation L2 loss 49.30, FNR 53.07 %
[03/16/2021 20:28:53] {complexTrain.py:233} INFO - Epochs: 78 / 410, Time: 2.5, FR training L2 loss 14.99, FR validation L2 loss 49.46, FNR 52.88 %
[03/16/2021 20:28:56] {complexTrain.py:233} INFO - Epochs: 79 / 410, Time: 2.5, FR training L2 loss 14.59, FR validation L2 loss 49.00, FNR 53.08 %
[03/16/2021 20:28:58] {complexTrain.py:233} INFO - Epochs: 80 / 410, Time: 2.5, FR training L2 loss 14.63, FR validation L2 loss 48.98, FNR 52.95 %
[03/16/2021 20:29:01] {complexTrain.py:233} INFO - Epochs: 81 / 410, Time: 2.5, FR training L2 loss 14.18, FR validation L2 loss 49.05, FNR 53.04 %
[03/16/2021 20:29:03] {complexTrain.py:233} INFO - Epochs: 82 / 410, Time: 2.5, FR training L2 loss 14.04, FR validation L2 loss 48.90, FNR 53.23 %
[03/16/2021 20:29:06] {complexTrain.py:233} INFO - Epochs: 83 / 410, Time: 2.5, FR training L2 loss 15.20, FR validation L2 loss 48.79, FNR 53.29 %
[03/16/2021 20:29:08] {complexTrain.py:233} INFO - Epochs: 84 / 410, Time: 2.5, FR training L2 loss 14.42, FR validation L2 loss 49.13, FNR 53.18 %
[03/16/2021 20:29:11] {complexTrain.py:233} INFO - Epochs: 85 / 410, Time: 2.5, FR training L2 loss 15.12, FR validation L2 loss 49.13, FNR 53.03 %
[03/16/2021 20:29:13] {complexTrain.py:233} INFO - Epochs: 86 / 410, Time: 2.5, FR training L2 loss 13.64, FR validation L2 loss 49.05, FNR 53.12 %
[03/16/2021 20:29:16] {complexTrain.py:233} INFO - Epochs: 87 / 410, Time: 2.5, FR training L2 loss 14.39, FR validation L2 loss 49.19, FNR 53.04 %
[03/16/2021 20:29:18] {complexTrain.py:233} INFO - Epochs: 88 / 410, Time: 2.5, FR training L2 loss 13.76, FR validation L2 loss 49.26, FNR 53.01 %
[03/16/2021 20:29:21] {complexTrain.py:233} INFO - Epochs: 89 / 410, Time: 2.5, FR training L2 loss 14.13, FR validation L2 loss 49.38, FNR 52.98 %
[03/16/2021 20:29:23] {complexTrain.py:233} INFO - Epochs: 90 / 410, Time: 2.5, FR training L2 loss 13.43, FR validation L2 loss 49.00, FNR 52.99 %
[03/16/2021 20:29:26] {complexTrain.py:233} INFO - Epochs: 91 / 410, Time: 2.5, FR training L2 loss 14.07, FR validation L2 loss 49.28, FNR 52.97 %
[03/16/2021 20:29:28] {complexTrain.py:233} INFO - Epochs: 92 / 410, Time: 2.5, FR training L2 loss 13.75, FR validation L2 loss 48.91, FNR 53.09 %
[03/16/2021 20:29:31] {complexTrain.py:233} INFO - Epochs: 93 / 410, Time: 2.5, FR training L2 loss 14.57, FR validation L2 loss 49.41, FNR 53.13 %
[03/16/2021 20:29:33] {complexTrain.py:233} INFO - Epochs: 94 / 410, Time: 2.5, FR training L2 loss 14.48, FR validation L2 loss 49.38, FNR 53.05 %
[03/16/2021 20:29:36] {complexTrain.py:233} INFO - Epochs: 95 / 410, Time: 2.5, FR training L2 loss 14.55, FR validation L2 loss 49.28, FNR 52.98 %
[03/16/2021 20:29:38] {complexTrain.py:233} INFO - Epochs: 96 / 410, Time: 2.5, FR training L2 loss 14.16, FR validation L2 loss 49.38, FNR 53.17 %
[03/16/2021 20:29:41] {complexTrain.py:233} INFO - Epochs: 97 / 410, Time: 2.5, FR training L2 loss 13.58, FR validation L2 loss 49.36, FNR 53.19 %
[03/16/2021 20:29:43] {complexTrain.py:233} INFO - Epochs: 98 / 410, Time: 2.5, FR training L2 loss 14.29, FR validation L2 loss 49.36, FNR 53.15 %
[03/16/2021 20:29:46] {complexTrain.py:233} INFO - Epochs: 99 / 410, Time: 2.5, FR training L2 loss 14.59, FR validation L2 loss 49.39, FNR 53.16 %
[03/16/2021 20:29:48] {complexTrain.py:233} INFO - Epochs: 100 / 410, Time: 2.5, FR training L2 loss 13.30, FR validation L2 loss 49.19, FNR 53.34 %
[03/16/2021 20:29:51] {complexTrain.py:233} INFO - Epochs: 101 / 410, Time: 2.5, FR training L2 loss 14.24, FR validation L2 loss 49.23, FNR 52.93 %
[03/16/2021 20:29:53] {complexTrain.py:233} INFO - Epochs: 102 / 410, Time: 2.5, FR training L2 loss 14.08, FR validation L2 loss 49.43, FNR 53.14 %
[03/16/2021 20:29:56] {complexTrain.py:233} INFO - Epochs: 103 / 410, Time: 2.5, FR training L2 loss 14.20, FR validation L2 loss 49.38, FNR 52.97 %
[03/16/2021 20:29:58] {complexTrain.py:233} INFO - Epochs: 104 / 410, Time: 2.5, FR training L2 loss 14.26, FR validation L2 loss 49.33, FNR 53.12 %
[03/16/2021 20:30:01] {complexTrain.py:233} INFO - Epochs: 105 / 410, Time: 2.4, FR training L2 loss 14.41, FR validation L2 loss 49.20, FNR 53.19 %
[03/16/2021 20:30:03] {complexTrain.py:233} INFO - Epochs: 106 / 410, Time: 2.5, FR training L2 loss 14.68, FR validation L2 loss 49.31, FNR 52.92 %
[03/16/2021 20:30:06] {complexTrain.py:233} INFO - Epochs: 107 / 410, Time: 2.5, FR training L2 loss 14.93, FR validation L2 loss 49.19, FNR 52.95 %
[03/16/2021 20:30:08] {complexTrain.py:233} INFO - Epochs: 108 / 410, Time: 2.5, FR training L2 loss 13.19, FR validation L2 loss 49.07, FNR 53.16 %
[03/16/2021 20:30:11] {complexTrain.py:233} INFO - Epochs: 109 / 410, Time: 2.5, FR training L2 loss 13.12, FR validation L2 loss 48.98, FNR 53.20 %
[03/16/2021 20:30:13] {complexTrain.py:233} INFO - Epochs: 110 / 410, Time: 2.5, FR training L2 loss 14.77, FR validation L2 loss 49.14, FNR 53.05 %
[03/16/2021 20:30:16] {complexTrain.py:233} INFO - Epochs: 111 / 410, Time: 2.5, FR training L2 loss 14.56, FR validation L2 loss 49.28, FNR 53.10 %
[03/16/2021 20:30:18] {complexTrain.py:233} INFO - Epochs: 112 / 410, Time: 2.5, FR training L2 loss 14.18, FR validation L2 loss 49.17, FNR 53.04 %
[03/16/2021 20:30:21] {complexTrain.py:233} INFO - Epochs: 113 / 410, Time: 2.5, FR training L2 loss 14.85, FR validation L2 loss 49.35, FNR 53.09 %
[03/16/2021 20:30:23] {complexTrain.py:233} INFO - Epochs: 114 / 410, Time: 2.5, FR training L2 loss 14.77, FR validation L2 loss 49.27, FNR 53.03 %
[03/16/2021 20:30:26] {complexTrain.py:233} INFO - Epochs: 115 / 410, Time: 2.5, FR training L2 loss 14.21, FR validation L2 loss 49.25, FNR 53.01 %
[03/16/2021 20:30:28] {complexTrain.py:233} INFO - Epochs: 116 / 410, Time: 2.5, FR training L2 loss 14.31, FR validation L2 loss 49.26, FNR 53.10 %
[03/16/2021 20:30:31] {complexTrain.py:233} INFO - Epochs: 117 / 410, Time: 2.5, FR training L2 loss 12.79, FR validation L2 loss 48.90, FNR 53.02 %
[03/16/2021 20:30:33] {complexTrain.py:233} INFO - Epochs: 118 / 410, Time: 2.5, FR training L2 loss 14.71, FR validation L2 loss 49.21, FNR 52.97 %
[03/16/2021 20:30:35] {complexTrain.py:233} INFO - Epochs: 119 / 410, Time: 2.5, FR training L2 loss 15.02, FR validation L2 loss 49.13, FNR 53.09 %
[03/16/2021 20:30:38] {complexTrain.py:233} INFO - Epochs: 120 / 410, Time: 2.5, FR training L2 loss 14.50, FR validation L2 loss 49.34, FNR 53.07 %
[03/16/2021 20:30:40] {complexTrain.py:233} INFO - Epochs: 121 / 410, Time: 2.5, FR training L2 loss 14.09, FR validation L2 loss 49.14, FNR 52.99 %
[03/16/2021 20:30:43] {complexTrain.py:233} INFO - Epochs: 122 / 410, Time: 2.5, FR training L2 loss 14.04, FR validation L2 loss 49.24, FNR 53.10 %
[03/16/2021 20:30:45] {complexTrain.py:233} INFO - Epochs: 123 / 410, Time: 2.5, FR training L2 loss 14.30, FR validation L2 loss 49.48, FNR 53.17 %
[03/16/2021 20:30:48] {complexTrain.py:233} INFO - Epochs: 124 / 410, Time: 2.5, FR training L2 loss 13.85, FR validation L2 loss 49.26, FNR 53.09 %
[03/16/2021 20:30:50] {complexTrain.py:233} INFO - Epochs: 125 / 410, Time: 2.5, FR training L2 loss 13.78, FR validation L2 loss 49.15, FNR 53.12 %
[03/16/2021 20:30:53] {complexTrain.py:233} INFO - Epochs: 126 / 410, Time: 2.5, FR training L2 loss 14.29, FR validation L2 loss 49.14, FNR 52.92 %
[03/16/2021 20:30:55] {complexTrain.py:233} INFO - Epochs: 127 / 410, Time: 2.4, FR training L2 loss 13.78, FR validation L2 loss 49.14, FNR 53.13 %
[03/16/2021 20:30:58] {complexTrain.py:233} INFO - Epochs: 128 / 410, Time: 2.5, FR training L2 loss 13.70, FR validation L2 loss 49.02, FNR 53.08 %
[03/16/2021 20:31:00] {complexTrain.py:233} INFO - Epochs: 129 / 410, Time: 2.4, FR training L2 loss 14.47, FR validation L2 loss 49.23, FNR 53.08 %
[03/16/2021 20:31:03] {complexTrain.py:233} INFO - Epochs: 130 / 410, Time: 2.5, FR training L2 loss 13.98, FR validation L2 loss 49.27, FNR 53.13 %
[03/16/2021 20:31:05] {complexTrain.py:233} INFO - Epochs: 131 / 410, Time: 2.5, FR training L2 loss 14.98, FR validation L2 loss 49.50, FNR 53.06 %
[03/16/2021 20:31:08] {complexTrain.py:233} INFO - Epochs: 132 / 410, Time: 2.5, FR training L2 loss 14.49, FR validation L2 loss 49.63, FNR 53.06 %
[03/16/2021 20:31:10] {complexTrain.py:233} INFO - Epochs: 133 / 410, Time: 2.5, FR training L2 loss 15.09, FR validation L2 loss 49.33, FNR 53.07 %
[03/16/2021 20:31:13] {complexTrain.py:233} INFO - Epochs: 134 / 410, Time: 2.6, FR training L2 loss 15.23, FR validation L2 loss 49.34, FNR 53.01 %
[03/16/2021 20:31:15] {complexTrain.py:233} INFO - Epochs: 135 / 410, Time: 2.5, FR training L2 loss 14.58, FR validation L2 loss 49.42, FNR 52.98 %
[03/16/2021 20:31:18] {complexTrain.py:233} INFO - Epochs: 136 / 410, Time: 2.5, FR training L2 loss 13.91, FR validation L2 loss 49.08, FNR 52.99 %
[03/16/2021 20:31:20] {complexTrain.py:233} INFO - Epochs: 137 / 410, Time: 2.5, FR training L2 loss 13.92, FR validation L2 loss 49.19, FNR 53.06 %
[03/16/2021 20:31:23] {complexTrain.py:233} INFO - Epochs: 138 / 410, Time: 2.5, FR training L2 loss 13.83, FR validation L2 loss 49.15, FNR 53.10 %
[03/16/2021 20:31:25] {complexTrain.py:233} INFO - Epochs: 139 / 410, Time: 2.5, FR training L2 loss 13.62, FR validation L2 loss 49.13, FNR 52.98 %
[03/16/2021 20:31:28] {complexTrain.py:233} INFO - Epochs: 140 / 410, Time: 2.4, FR training L2 loss 14.18, FR validation L2 loss 49.13, FNR 52.96 %
[03/16/2021 20:31:30] {complexTrain.py:233} INFO - Epochs: 141 / 410, Time: 2.5, FR training L2 loss 14.21, FR validation L2 loss 49.09, FNR 52.92 %
[03/16/2021 20:31:33] {complexTrain.py:233} INFO - Epochs: 142 / 410, Time: 2.5, FR training L2 loss 14.45, FR validation L2 loss 49.22, FNR 52.98 %
[03/16/2021 20:31:35] {complexTrain.py:233} INFO - Epochs: 143 / 410, Time: 2.5, FR training L2 loss 15.73, FR validation L2 loss 49.30, FNR 52.93 %
[03/16/2021 20:31:38] {complexTrain.py:233} INFO - Epochs: 144 / 410, Time: 2.5, FR training L2 loss 13.66, FR validation L2 loss 49.24, FNR 53.09 %
[03/16/2021 20:31:40] {complexTrain.py:233} INFO - Epochs: 145 / 410, Time: 2.5, FR training L2 loss 13.60, FR validation L2 loss 49.30, FNR 53.02 %
[03/16/2021 20:31:43] {complexTrain.py:233} INFO - Epochs: 146 / 410, Time: 2.5, FR training L2 loss 14.29, FR validation L2 loss 49.36, FNR 53.29 %
[03/16/2021 20:31:45] {complexTrain.py:233} INFO - Epochs: 147 / 410, Time: 2.5, FR training L2 loss 13.59, FR validation L2 loss 49.20, FNR 53.03 %
[03/16/2021 20:31:48] {complexTrain.py:233} INFO - Epochs: 148 / 410, Time: 2.5, FR training L2 loss 14.41, FR validation L2 loss 49.20, FNR 53.08 %
[03/16/2021 20:31:50] {complexTrain.py:233} INFO - Epochs: 149 / 410, Time: 2.5, FR training L2 loss 15.08, FR validation L2 loss 49.63, FNR 52.93 %
[03/16/2021 20:31:53] {complexTrain.py:233} INFO - Epochs: 150 / 410, Time: 2.6, FR training L2 loss 14.08, FR validation L2 loss 49.29, FNR 53.02 %
[03/16/2021 20:31:55] {complexTrain.py:233} INFO - Epochs: 151 / 410, Time: 2.5, FR training L2 loss 14.82, FR validation L2 loss 49.43, FNR 53.18 %
[03/16/2021 20:31:58] {complexTrain.py:233} INFO - Epochs: 152 / 410, Time: 2.5, FR training L2 loss 14.04, FR validation L2 loss 49.17, FNR 53.20 %
[03/16/2021 20:32:00] {complexTrain.py:233} INFO - Epochs: 153 / 410, Time: 2.5, FR training L2 loss 14.76, FR validation L2 loss 49.51, FNR 53.10 %
[03/16/2021 20:32:03] {complexTrain.py:233} INFO - Epochs: 154 / 410, Time: 2.5, FR training L2 loss 14.00, FR validation L2 loss 49.43, FNR 53.30 %
[03/16/2021 20:32:05] {complexTrain.py:233} INFO - Epochs: 155 / 410, Time: 2.5, FR training L2 loss 14.64, FR validation L2 loss 49.26, FNR 53.10 %
[03/16/2021 20:32:08] {complexTrain.py:233} INFO - Epochs: 156 / 410, Time: 2.6, FR training L2 loss 14.74, FR validation L2 loss 49.25, FNR 53.00 %
[03/16/2021 20:32:12] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:35:52] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:37:22] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 89.8, FR training L2 loss 297.56, FR validation L2 loss 37.06, FNR 51.27 %
[03/16/2021 20:38:57] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 95.2, FR training L2 loss 33.62, FR validation L2 loss 32.44, FNR 37.07 %
[03/16/2021 20:40:33] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 95.7, FR training L2 loss 30.92, FR validation L2 loss 31.50, FNR 33.19 %
[03/16/2021 20:42:08] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 95.7, FR training L2 loss 29.95, FR validation L2 loss 30.73, FNR 31.00 %
[03/16/2021 20:43:44] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 95.7, FR training L2 loss 29.19, FR validation L2 loss 30.47, FNR 29.39 %
[03/16/2021 20:45:21] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 96.4, FR training L2 loss 28.61, FR validation L2 loss 30.46, FNR 29.71 %
[03/16/2021 20:46:58] {complexTrain.py:233} INFO - Epochs: 7 / 410, Time: 97.0, FR training L2 loss 28.02, FR validation L2 loss 29.97, FNR 27.65 %
[03/16/2021 20:48:37] {complexTrain.py:233} INFO - Epochs: 8 / 410, Time: 99.6, FR training L2 loss 27.57, FR validation L2 loss 29.77, FNR 26.56 %
[03/16/2021 20:50:13] {complexTrain.py:233} INFO - Epochs: 9 / 410, Time: 96.4, FR training L2 loss 27.21, FR validation L2 loss 29.84, FNR 27.16 %
[03/16/2021 20:51:49] {complexTrain.py:233} INFO - Epochs: 10 / 410, Time: 96.0, FR training L2 loss 26.85, FR validation L2 loss 29.78, FNR 27.17 %
[03/16/2021 20:53:26] {complexTrain.py:233} INFO - Epochs: 11 / 410, Time: 96.8, FR training L2 loss 26.49, FR validation L2 loss 29.57, FNR 26.17 %
[03/16/2021 20:55:02] {complexTrain.py:233} INFO - Epochs: 12 / 410, Time: 95.9, FR training L2 loss 26.16, FR validation L2 loss 29.92, FNR 25.88 %
